"Invariant_GeV2","OnShell_Mean_GeV-1","OnShell_Sigma_GeV-1","Continuous_Mean_GeV-1","Continuous_Sigma_GeV-1"
0.9026650479456,1.7666038798081198e-12,1.420316306748764e-13,2.5941737434079615e-10,6.272178815007223e-11
0.9063344180591999,7.418533765812914e-13,6.125793472984584e-14,2.38452741795013e-10,5.788209876558985e-11
0.9100037881728,2.193391813222975e-13,1.949954768767342e-14,2.187713914293284e-10,5.3224162987232316e-11
0.9136731582864,2.7595316683004782e-14,3.2044551938946813e-15,2.0030016611795544e-10,4.877560781076938e-11
0.9173425284,6.423598980764739e-19,1.1624309657861553e-18,1.8297523181348368e-10,4.456420669106927e-11
0.920400336828,0.,0.,1.6937415693141297e-10,4.125248843771542e-11
0.923458145256,0.,0.,1.5650718469657447e-10,3.811946807485258e-11
0.926515953684,0.,0.,1.443513903044479e-10,3.515956704117687e-11
0.9295737621119999,0.,0.,1.328838854810665e-10,3.236721551937902e-11
0.93263157054,0.,0.,1.220818356164697e-10,2.973685671245419e-11
0.9356893789680001,0.,0.,1.1192247710075766e-10,2.7262951061751568e-11
0.9387471873959999,0.,0.,1.0238313480978991e-10,2.4939980501442033e-11
0.9418049958240001,0.,0.,9.344123973974448e-11,2.2762452749206717e-11
0.944862804252,0.,0.,8.507434678976836e-11,2.072490563296286e-11
0.94792061268,0.,0.,7.726015269192649e-11,1.8821911453429345e-11
0.9509784211079999,0.,0.,6.997651408771187e-11,1.7048081382361026e-11
0.9540362295360001,0.,0.,6.320146575032938e-11,1.5398069896246765e-11
0.957094037964,0.,0.,5.691323895202792e-11,1.3866579245311254e-11
0.960151846392,0.,0.,5.109027997571011e-11,1.2448363957619746e-11
0.96320965482,0.,0.,4.5711268770094014e-11,1.1138235378112842e-11
0.9662674632480002,0.,0.,4.075513774768969e-11,9.931066242397381e-12
0.969325271676,0.,0.,3.6201090724857864e-11,8.821795285106431e-12
0.9723830801040001,0.,0.,3.202862200322926e-11,7.805431882660362e-12
0.9754408885320001,0.,0.,2.821753559177356e-11,6.877060730250912e-12
0.97849869696,0.,0.,2.4747964568797464e-11,6.031846552876167e-12
0.981556505388,0.,0.,2.160039058317244e-11,5.265038850252751e-12
0.9846143138160001,0.,0.,1.8755663494092317e-11,4.571976675440029e-12
0.987672122244,0.,0.,1.619502114866258e-11,3.948093447000565e-12
0.9907299306720001,0.,0.,1.390010929663633e-11,3.388921794535645e-12
0.9937877391000001,0.,0.,1.1853001641611426e-11,2.8900984374245067e-12
0.9968455475280001,0.,0.,1.0036220028010953e-11,2.4473690966055337e-12
0.999903355956,0.,0.,8.43275476317596e-12,2.0565934392337877e-12
1.0029611643840002,0.,0.,7.0260850738997585e-12,1.7137500560546023e-12
1.0060189728120001,0.,0.,5.80019969674593e-12,1.4149414713289943e-12
1.00907678124,0.,0.,4.739617601487903e-12,1.156399185154288e-12
1.0097162999125053,0.,0.,4.537305203286099e-12,1.1070773357214323e-12
1.0103558185850106,0.,0.,4.3414347870046355e-12,1.0593248149192663e-12
1.0109953372575158,0.,0.,4.1518739935010835e-12,1.013109401301101e-12
1.011634855930021,0.,0.,3.96849157499007e-12,9.683991437574159e-13
1.0122743746025262,0.,0.,3.791157403495224e-12,9.251623635728515e-13
1.0129138932750315,0.,0.,3.619742479311806e-12,8.833676564848657e-13
1.013553411947537,0.,0.,3.4541189394803855e-12,8.429838947457202e-13
1.014192930620042,0.,0.,3.294160066271859e-12,8.039802291870769e-13
1.0148324492925473,0.,0.,3.1397402956822633e-12,7.663260912866612e-13
1.0154719679650526,0.,0.,2.990735225940002e-12,7.299911952383498e-13
1.0161114866375578,0.,0.,2.847021626022573e-12,6.949455400245821e-13
1.016751005310063,0.,0.,2.708477444185168e-12,6.611594114912206e-13
1.0173905239825682,0.,0.,2.5749818164994407e-12,6.286033844251951e-13
1.0180300426550735,0.,0.,2.4464150754037215e-12,5.972483246352052e-13
1.0186695613275787,0.,0.,2.3226587582636117e-12,5.670653910342168e-13
1.019309080000084,0.,0.,2.2035956159436053e-12,5.380260377253923e-13
1.0199485986725891,0.,0.,2.0891096213896058e-12,5.101020160902636e-13
1.0205881173450946,0.,0.,1.979085978222112e-12,4.832653768795163e-13
1.0212276360175996,0.,0.,1.873411129340369e-12,4.574884723064724e-13
1.021867154690105,0.,0.,1.7719727655368841e-12,4.327439581434228e-13
1.02250667336261,0.,0.,1.674659834123556e-12,4.090047958200902e-13
1.0231461920351155,0.,0.,1.5813625475675317e-12,3.8624425452523574e-13
1.0237857107076207,0.,0.,1.4919723921388094e-12,3.644359133105135e-13
1.024425229380126,0.,0.,1.4063821365677912e-12,3.435536631971131e-13
1.025064748052631,0.,0.,1.3244858407141122e-12,3.235717092849002e-13
1.0257042667251364,0.,0.,1.24617886424582e-12,3.0446457286438396e-13
1.0263437853976414,0.,0.,1.171357875329691e-12,2.862070935310268e-13
1.0269833040701468,0.,0.,1.0999208593316807e-12,2.687744313023099e-13
1.027622822742652,0.,0.,1.031767127528738e-12,2.521420687373976e-13
1.0282623414151573,0.,0.,9.667973258306581e-13,2.362858130593415e-13
1.0289018600876625,0.,0.,9.049134435130769e-13,2.2118179827996031e-13
1.0295413787601677,0.,0.,8.460188219608601e-13,2.068064873271518e-13
1.030180897432673,0.,0.,7.900181634222775e-13,1.9313667417505866e-13
1.0308204161051782,0.,0.,7.368175397737778e-13,1.8014948597660084e-13
1.0314599347776836,0.,0.,6.863244012953503e-13,1.6782238519867262e-13
1.0320994534501886,0.,0.,6.384475854566299e-13,1.5613317175991979e-13
1.0327389721226938,0.,0.,5.930973257133343e-13,1.4505998517109013e-13
1.033378490795199,0.,0.,5.501852603147313e-13,1.3458130667805381e-13
1.0340180094677045,0.,0.,5.09624441121241e-13,1.246759614071651e-13
1.0346575281402097,0.,0.,4.713293424329891e-13,1.1532312051349822e-13
1.035297046812715,0.,0.,4.3521586982861037e-13,1.0650230333144731e-13
1.0359365654852202,0.,0.,4.012013690148526e-13,9.819337952793191e-14
1.0365760841577254,0.,0.,3.6920463468657313e-13,9.037657125819466e-14
1.0372156028302306,0.,0.,3.3914591939738004e-13,8.303245532423541e-14
1.0378551215027358,0.,0.,3.1094694244066377e-13,7.614196533560946e-14
1.038494640175241,0.,0.,2.8453089874130194e-13,6.968639387300547e-14
1.0391341588477463,0.,0.,2.598224677577082e-13,6.364739465421387e-14
1.0397736775202515,0.,0.,2.3674782239450146e-13,5.800698470276224e-14
1.0404131961927567,0.,0.,2.1523463792558385e-13,5.274754651900886e-14
1.041052714865262,0.,0.,1.9521210092769796e-13,4.7851830253846394e-14
1.0416922335377672,0.,0.,1.7661091822448567e-13,4.3302955884941924e-14
1.0423317522102726,0.,0.,1.5936332584093738e-13,3.908441539549943e-14
1.0429712708827776,0.,0.,1.4340309796835954e-13,3.518007495559488e-14
1.043610789555283,0.,0.,1.2866555593964685e-13,3.1574177105994573e-14
1.044250308227788,0.,0.,1.1508757721515606e-13,2.8251342944593386e-14
1.0448898269002935,0.,0.,1.0260760437878723e-13,2.5196574315304505e-14
1.0455293455727988,0.,0.,9.116565414464403e-14,2.2395255999541886e-14
1.046168864245304,0.,0.,8.070332637394396e-14,1.983315791019166e-14
1.0468083829178092,0.,0.,7.11638131024014e-14,1.7496437288147818e-14
1.0474479015903144,0.,0.,6.249190757792394e-14,1.5371640901336917e-14
1.0480874202628196,0.,0.,5.463401330869276e-14,1.344570724628953e-14
1.0487269389353249,0.,0.,4.7538153121582136e-14,1.170596875224052e-14
1.0493664576078303,0.,0.,4.115397823091896e-14,1.0140153987731514e-14
1.0500059762803353,0.,0.,3.543277731757852e-14,8.736389869753461e-15
1.0506454949528408,0.,0.,3.032748561836639e-14,7.483203875391027e-15
1.051285013625346,0.,0.,2.5792694025753043e-14,6.369526256003374e-15
1.0519245322978512,0.,0.,2.1784658197869713e-14,5.384692253931049e-15
1.0525640509703564,0.,0.,1.826130767880695e-14,4.5184443217130794e-15
1.0532035696428614,0.,0.,1.51822550291888e-14,3.760934343856814e-15
1.0538430883153669,0.,0.,1.25088049670056e-14,3.10272586113555e-15
1.054482606987872,0.,0.,1.0203963518723359e-14,2.534796297452114e-15
1.0551221256603773,0.,0.,8.232447180612809e-15,2.0485391892761212e-15
1.0557616443328826,0.,0.,6.5606920903379134e-15,1.6357664176929049e-15
1.0564011630053878,0.,0.,5.156863208758219e-15,1.2887104431164292e-15
1.057040681677893,0.,0.,3.990863511954009e-15,1.0000265427481605e-15
