"Invariant_GeV2","OnShell_Mean_GeV-1","OnShell_Sigma_GeV-1","Continuous_Mean_GeV-1","Continuous_Sigma_GeV-1"
0.6228446974558207,2.290803867731959e-8,2.344016828565061e-9,2.3639133306961713e-8,2.501413110366669e-9
0.6255527178795417,2.1877531813723603e-8,2.2444258952906046e-9,2.2619766408847674e-8,2.404455408981738e-9
0.6282607383032626,2.0860931887787906e-8,2.1457475157951317e-9,2.1615430895771e-8,2.308665258425623e-9
0.6309687587269835,1.9857439171825214e-8,2.047909186546351e-9,2.0625404031990182e-8,2.2139891378004672e-9
0.6336767791507045,1.8866162113125277e-8,1.950828132065377e-9,1.9648885066864512e-8,2.120366652414759e-9
0.6363847995744255,1.7886093768236528e-8,1.8544087797631976e-9,1.8684974940488458e-8,2.027728831912386e-9
0.6390928199981465,1.6916080818097914e-8,1.7585394430028749e-9,1.773264959916493e-8,1.93599589985729e-9
0.6418008404218675,1.5954782098940257e-8,1.6630878882267545e-9,1.6790724276484054e-8,1.8450742996275965e-9
0.6445088608455883,1.500061199950469e-8,1.5678952941746203e-9,1.58578047297364e-8,1.7548526506974845e-9
0.6472168812693093,1.4051661589000834e-8,1.4727678391156686e-9,1.493221929509018e-8,1.6651961311829753e-9
0.6499249016930303,1.31055851574283e-8,1.3774646713395556e-9,1.4011921056989895e-8,1.5759384636524702e-9
0.6526329221167513,1.215943262213856e-8,1.2816801911371503e-9,1.309434329508453e-8,1.4868701407169105e-9
0.6553409425404723,1.1209392822530842e-8,1.185017022522956e-9,1.2176177991365558e-8,1.397720513399137e-9
0.6580489629641932,1.0250382361602336e-8,1.0869429713111596e-9,1.1253020892474958e-8,1.3081293468693066e-9
0.6607569833879141,9.27535027742217e-9,9.86718770684569e-10,1.031877095191755e-8,1.2175992057513018e-9
0.6634650038116351,8.27401749265167e-9,8.832684031381163e-10,9.364541008807997e-9,1.125410220262724e-9
0.6661730242353561,7.230370626047031e-9,7.749250308203426e-10,8.376490833562469e-9,1.0304533877010404e-9
0.668881044659077,6.1169900565875196e-9,6.588694438839523e-10,7.330920104777729e-9,9.308618365195211e-10
0.6715890650827979,4.8793934067313095e-9,5.296489481825198e-10,6.180715038788633e-9,8.230291452975787e-10
0.6742970855065189,3.374031504339015e-9,3.740252372724651e-10,4.8016369655430585e-9,6.980096613751492e-10
0.6770051059302399,3.1524437584039016e-10,3.003374115556068e-10,2.0792016684877705e-9,5.36748725083258e-10
0.6792617896166739,0.,0.,1.7527563107574323e-9,4.2669957583096254e-10
0.6815184733031082,0.,0.,1.7004896715973695e-9,4.13978405663583e-10
0.6837751569895423,0.,0.,1.648901603176761e-9,4.0142235643412355e-10
0.6860318406759764,0.,0.,1.5979963091811764e-9,3.890324512480553e-10
0.6882885243624105,0.,0.,1.5477779202297815e-9,3.7680969542636627e-10
0.6905452080488448,0.,0.,1.4982504964938482e-9,3.64755077142289e-10
0.6928018917352787,0.,0.,1.4494180305630294e-9,3.528695681182859e-10
0.695058575421713,0.,0.,1.4012844505795466e-9,3.4115412438820427e-10
0.6973152591081471,0.,0.,1.3538536236630455e-9,3.2960968713011106e-10
0.6995719427945812,0.,0.,1.307129359651141e-9,3.182371835759001e-10
0.7018286264810154,0.,0.,1.261115415184135e-9,3.0703752800461616e-10
0.7040853101674495,0.,0.,1.2158154981656654e-9,2.96011622827188e-10
0.7063419938538836,0.,0.,1.1712332726349158e-9,2.851603597712542e-10
0.7085986775403177,0.,0.,1.1273723640909797e-9,2.744846211759557e-10
0.7108553612267519,0.,0.,1.0842363653147797e-9,2.6398528140771804e-10
0.713112044913186,0.,0.,1.041828842740565e-9,2.536632084096931e-10
0.7153687285996202,0.,0.,1.0001533434356236e-9,2.435192653991028e-10
0.7176254122860544,0.,0.,9.592134027554808e-10,2.335543127288569e-10
0.7198820959724884,0.,0.,9.19012552751359e-10,2.2376920993210294e-10
0.7221387796589226,0.,0.,8.79554331417957e-10,2.1416481797114064e-10
0.7243954633453568,0.,0.,8.408422928829434e-10,2.0474200171532917e-10
0.7266521470317908,0.,0.,8.028800186555046e-10,1.9550163267654276e-10
0.728908830718225,0.,0.,7.656711300696116e-10,1.864445920351774e-10
0.731165514404659,0.,0.,7.292193020803068e-10,1.7757177399516765e-10
0.7334221980910933,0.,0.,6.935282785977597e-10,1.6888408951297856e-10
0.7356788817775274,0.,0.,6.586018895762228e-10,1.6038247045336276e-10
0.7379355654639616,0.,0.,6.244440701136277e-10,1.5206787423408082e-10
0.7401922491503956,0.,0.,5.91058881865272e-10,1.4394128903338536e-10
0.7424489328368299,0.,0.,5.584505371327182e-10,1.3600373964810254e-10
0.744705616523264,0.,0.,5.266234260608226e-10,1.2825629410760692e-10
0.7454724185652188,0.,0.,5.159874806483842e-10,1.2566724693900087e-10
0.7462392206071737,0.,0.,5.054424505415328e-10,1.2310032287147333e-10
0.7470060226491286,0.,0.,4.949885256491913e-10,1.2055556810292357e-10
0.7477728246910834,0.,0.,4.846258994741565e-10,1.1803302970502068e-10
0.7485396267330383,0.,0.,4.743547693028798e-10,1.1553275566935019e-10
