"Run","Seed","BestYukawa2Cs2Ms6MB2","BestLoss","CoarseBestY","Alpha","GammaTotal","mPi","MEta","mRho","mOmega","mPhi","GammaRho","GammaOmega","GammaPhi","mKP","mN","g","zNS","zSmBm","PhiPdeg","PhiVdeg"
21,12366,0.00008575757575757576,1.564757465246847,0.00008636363636363636,0.007297525663088192,1.2236814367599828e-6,0.13497665301179326,0.5478759898598341,0.7749124471700181,0.78287894100852,1.0194400192785755,0.1477351458894209,0.008356565004198608,0.004233489719484373,0.4936630304358489,0.9382720883147416,0.6965157411397691,0.842612810716462,0.6508107431295426,41.72454523567635,3.4010768775982005
22,12367,0.00008230303030303031,1.6157515858240707,0.00008181818181818182,0.007297525681342057,1.2816718263101534e-6,0.13497609238590877,0.54785379551661,0.7753031528221153,0.7826182287185532,1.0194868613800994,0.14993949057196007,0.008672607201039706,0.004265358539708322,0.4936717775641606,0.9382720876468227,0.6956970251856222,0.8439764918629188,0.6542508536596471,40.84166917052846,3.3604205511386707
23,12368,0.0000676969696969697,1.6304470672955593,0.00006818181818181818,0.007297525653404863,1.2788653161780553e-6,0.13497631223941667,0.5478542392422447,0.775269012903955,0.7828571554966115,1.0194562029510585,0.14846493757536658,0.008636136353477016,0.004241774286313887,0.49367607713197764,0.9382720882247075,0.7190906718588052,0.8445805635379663,0.6320050721294295,41.83176686949824,3.1768483855042318
24,12369,0.00008206060606060606,1.60357050240171,0.00008181818181818182,0.007297525673542002,1.4340535171818897e-6,0.13497639306932593,0.5478666356886449,0.7756832822237388,0.7824959525090649,1.0194244082182369,0.14967349365171254,0.008601942178924075,0.004245742503687061,0.4936698356506433,0.9382720883605621,0.7024380459447483,0.8341130910705911,0.6598511317482776,41.1335402158426,3.4406965708089077
25,12370,0.00008296969696969697,1.5749080661966302,0.00008333333333333333,0.007297525643075292,1.3321749363109844e-6,0.13497722154661537,0.5478359580187914,0.7753049734737327,0.7827580631409439,1.0194305344889638,0.148514868468014,0.008776641233411887,0.004244827249541952,0.49367945675849534,0.9382720884592479,0.6961810015655537,0.8501833049925139,0.6248383413499291,41.709782347151126,3.3476766461228245
26,12371,0.00008915151515151516,1.6054516487315125,0.00008939393939393939,0.007297525669227191,1.2293203551840192e-6,0.13497663395227305,0.5478583771878054,0.774889265056634,0.7825538613370123,1.019457779576177,0.1497320145062832,0.008696719835056167,0.0042488028241371885,0.49366023818282445,0.9382720879843277,0.7047351838375762,0.7978167973917084,0.6424606511321995,40.524960517270834,3.20713632279766
27,12372,0.00008078787878787878,1.5575251874967875,0.0000803030303030303,0.007297525662892644,1.2508608042300894e-6,0.13497674990551925,0.5478705807155941,0.7752952263802584,0.7828424504329503,1.0195041706971075,0.14849195428388343,0.0084826863467908,0.004243315872966186,0.4936842142606626,0.938272087796948,0.7157847313599429,0.8200364393077099,0.6429655621859096,42.29884944662055,3.346508828452844
28,12373,0.0000927878787878788,1.5648332943763144,0.00009242424242424243,0.007297525654382621,1.3550543818255488e-6,0.1349769636513741,0.5478779217018476,0.7754695158000293,0.7826384116146633,1.0194841576780036,0.15008831453946567,0.00836010208319602,0.004231645218426468,0.4936652516311142,0.9382720877678244,0.7093216219995228,0.7882910651029243,0.6400782089997255,41.146384471475514,3.4770167708773676
29,12374,0.00007096969696969698,1.658647620517904,0.00007121212121212121,0.0072975256829503074,1.365927177615896e-6,0.1349766957775962,0.547883034121097,0.7750454554048152,0.7826048511316144,1.019463261976491,0.14947415381418477,0.008661746454264091,0.004260378919634429,0.49370271451674586,0.9382720884460526,0.7054710672513225,0.8549575102948791,0.6476396170877282,40.8984373558888,3.282983616417952
30,12375,0.00008381818181818181,1.6214810554137997,0.00008333333333333333,0.0072975256421014085,1.323991027270396e-6,0.13497587896168056,0.5478661956800901,0.775341438389432,0.7827848633635582,1.0194588528968789,0.1493613756081054,0.008825781019973432,0.004261314441942984,0.4937013084130791,0.9382720879686123,0.6908436122648318,0.8483630620242617,0.6492915495057415,40.56698895288044,3.444351933148747
